flasher_cmds,pos_cmd_0s,pos_cmd_1s
7,0.2250057,0.2250057
7,0.2500057,0.2250057
7,0.2750057,0.2250057
7,0.30000570000000004,0.2250057
7,0.3250057,0.2250057
7,0.3500057,0.2250057
7,0.3750057,0.2250057
7,0.4000057,0.2250057
7,0.42500570000000004,0.2250057
7,0.2250057,0.2500057
7,0.2500057,0.2500057
7,0.2750057,0.2500057
7,0.30000570000000004,0.2500057
7,0.3250057,0.2500057
7,0.3500057,0.2500057
7,0.3750057,0.2500057
7,0.4000057,0.2500057
7,0.42500570000000004,0.2500057
7,0.2250057,0.2750057
7,0.2500057,0.2750057
7,0.2750057,0.2750057
7,0.30000570000000004,0.2750057
7,0.3250057,0.2750057
7,0.3500057,0.2750057
7,0.3750057,0.2750057
7,0.4000057,0.2750057
7,0.42500570000000004,0.2750057
7,0.2250057,0.30000570000000004
7,0.2500057,0.30000570000000004
7,0.2750057,0.30000570000000004
7,0.30000570000000004,0.30000570000000004
7,0.3250057,0.30000570000000004
7,0.3500057,0.30000570000000004
7,0.3750057,0.30000570000000004
7,0.4000057,0.30000570000000004
7,0.42500570000000004,0.30000570000000004
7,0.2250057,0.3250057
7,0.2500057,0.3250057
7,0.2750057,0.3250057
7,0.30000570000000004,0.3250057
7,0.3250057,0.3250057
7,0.3500057,0.3250057
7,0.3750057,0.3250057
7,0.4000057,0.3250057
7,0.42500570000000004,0.3250057
7,0.2250057,0.3500057
7,0.2500057,0.3500057
7,0.2750057,0.3500057
7,0.30000570000000004,0.3500057
7,0.3250057,0.3500057
7,0.3500057,0.3500057
7,0.3750057,0.3500057
7,0.4000057,0.3500057
7,0.42500570000000004,0.3500057
7,0.2250057,0.3750057
7,0.2500057,0.3750057
7,0.2750057,0.3750057
7,0.30000570000000004,0.3750057
7,0.3250057,0.3750057
7,0.3500057,0.3750057
7,0.3750057,0.3750057
7,0.4000057,0.3750057
7,0.42500570000000004,0.3750057
7,0.2250057,0.4000057
7,0.2500057,0.4000057
7,0.2750057,0.4000057
7,0.30000570000000004,0.4000057
7,0.3250057,0.4000057
7,0.3500057,0.4000057
7,0.3750057,0.4000057
7,0.4000057,0.4000057
7,0.42500570000000004,0.4000057
7,0.2250057,0.42500570000000004
7,0.2500057,0.42500570000000004
7,0.2750057,0.42500570000000004
7,0.30000570000000004,0.42500570000000004
7,0.3250057,0.42500570000000004
7,0.3500057,0.42500570000000004
7,0.3750057,0.42500570000000004
7,0.4000057,0.42500570000000004
7,0.42500570000000004,0.42500570000000004
