flasher_cmds,pos_cmd_0s,pos_cmd_1s
1 1 1 0 0 0 0 0 0 0 0 0,0.42500570000000004,0.3750057
1 1 1 0 0 0 0 0 0 0 0 0,0.2250057,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.2500057,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.2750057,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.30000570000000004,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.3250057,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.3500057,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.3750057,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.4000057,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.42500570000000004,0.4000057
1 1 1 0 0 0 0 0 0 0 0 0,0.2250057,0.42500570000000004
1 1 1 0 0 0 0 0 0 0 0 0,0.2500057,0.42500570000000004
1 1 1 0 0 0 0 0 0 0 0 0,0.2750057,0.42500570000000004
1 1 1 0 0 0 0 0 0 0 0 0,0.30000570000000004,0.42500570000000004
1 1 1 0 0 0 0 0 0 0 0 0,0.3250057,0.42500570000000004
1 1 1 0 0 0 0 0 0 0 0 0,0.3500057,0.42500570000000004
1 1 1 0 0 0 0 0 0 0 0 0,0.3750057,0.42500570000000004
1 1 1 0 0 0 0 0 0 0 0 0,0.4000057,0.42500570000000004
1 1 1 0 0 0 0 0 0 0 0 0,0.42500570000000004,0.42500570000000004
