flasher_cmds,pos_cmd_0s,pos_cmd_1s
7,0.24999299999999997,0.24999299999999997
7,0.287493,0.24999299999999997
7,0.324993,0.24999299999999997
7,0.36249299999999995,0.24999299999999997
7,0.399993,0.24999299999999997
7,0.24999299999999997,0.287493
7,0.287493,0.287493
7,0.324993,0.287493
7,0.36249299999999995,0.287493
7,0.399993,0.287493
7,0.24999299999999997,0.324993
7,0.287493,0.324993
7,0.324993,0.324993
7,0.36249299999999995,0.324993
7,0.399993,0.324993
7,0.24999299999999997,0.36249299999999995
7,0.287493,0.36249299999999995
7,0.324993,0.36249299999999995
7,0.36249299999999995,0.36249299999999995
7,0.399993,0.36249299999999995
7,0.24999299999999997,0.399993
7,0.287493,0.399993
7,0.324993,0.399993
7,0.36249299999999995,0.399993
7,0.399993,0.399993
